計罰,總額預定,逾期,id,Target
5,7,154,1,punitive
0,0,9,2,punitive
0,0,0,3,punitive
0,0,47,4,punitive
3,0,36,5,compensatory
1,0,1,6,punitive
0,0,8,7,punitive
0,0,3,8,notdefine
0,0,0,9,punitive
0,0,0,10,punitive
0,0,4,11,punitive
2,0,0,12,punitive
0,0,5,13,punitive
0,1,6,14,punitive
0,0,23,15,compensatory
10,0,7,16,punitive
11,3,14,17,compensatory
0,0,0,18,punitive
1,1,28,19,punitive
1,5,34,20,compensatory
0,0,3,21,punitive
0,0,0,22,notdefine
5,0,7,23,punitive
0,0,6,24,punitive
7,0,50,25,punitive
7,0,0,26,punitive
0,0,0,27,punitive
1,0,30,28,compensatory
0,0,14,29,punitive
12,2,41,30,punitive
0,0,0,31,punitive
0,2,15,32,compensatory
2,0,1,33,punitive
3,0,8,34,punitive
0,0,1,35,compensatory
3,0,21,36,compensatory
0,0,2,37,punitive
0,0,28,38,compensatory
0,0,17,39,compensatory
3,0,4,40,punitive
0,0,0,41,punitive
0,0,0,42,punitive
0,1,20,43,compensatory
0,2,12,44,compensatory
0,2,12,45,compensatory
0,0,0,46,punitive
0,0,3,47,punitive
0,0,0,48,punitive
0,1,0,49,punitive
0,1,33,50,punitive
3,0,40,51,compensatory
0,0,22,52,compensatory
0,0,3,53,punitive
0,0,0,54,punitive
0,0,26,55,punitive
0,1,37,56,punitive
0,0,26,57,compensatory
0,0,1,58,punitive
0,0,1,59,punitive
1,0,27,60,punitive
0,0,6,61,punitive
0,2,23,62,punitive
0,0,34,63,punitive
0,0,15,64,punitive
0,0,0,65,punitive
0,0,1,66,punitive
0,0,1,67,punitive
0,0,26,68,compensatory
0,0,38,69,compensatory
3,0,52,70,compensatory
0,1,0,71,punitive
0,0,20,72,punitive
0,2,17,73,punitive
0,2,0,74,punitive
0,0,52,75,compensatory
2,0,15,76,punitive
0,0,11,77,punitive
0,0,0,78,punitive
0,0,1,79,compensatory
0,0,4,80,punitive
0,1,14,81,punitive
0,2,0,82,punitive
0,0,0,83,punitive
0,0,33,84,punitive
0,0,0,85,notdefine
0,0,0,86,compensatory
0,2,7,87,compensatory
0,2,7,88,compensatory
0,3,10,89,punitive
3,0,46,90,punitive
0,0,2,91,punitive
0,6,0,92,punitive
1,3,43,93,compensatory
0,0,1,94,punitive
0,0,16,95,punitive
0,0,0,96,punitive
0,0,19,97,compensatory
1,3,48,98,punitive
11,0,21,99,punitive
1,0,7,100,punitive
1,1,32,101,punitive
0,0,6,102,punitive
0,0,22,103,punitive
0,0,40,104,punitive
1,0,7,105,punitive
1,0,27,106,compensatory
1,0,27,107,punitive
0,0,13,108,compensatory
0,0,5,109,punitive
0,0,0,110,compensatory
0,0,3,111,punitive
0,14,72,112,punitive
13,0,68,113,compensatory
2,0,28,114,punitive
0,0,34,115,punitive
0,0,0,116,punitive
0,0,11,117,punitive
0,0,20,118,punitive
6,1,34,119,compensatory
0,0,0,120,punitive
0,0,11,121,punitive
0,0,1,122,punitive
0,1,69,123,punitive
0,0,7,124,compensatory
0,0,16,125,punitive
0,0,3,126,compensatory
0,3,3,127,punitive
0,0,0,128,punitive
3,4,67,129,compensatory
0,0,0,130,punitive
25,7,137,131,punitive
0,0,0,132,punitive
0,0,15,133,compensatory
3,0,4,134,punitive
0,0,23,135,compensatory
0,0,2,136,punitive
0,0,0,137,punitive
0,0,0,138,notdefine
0,0,0,139,compensatory
1,4,24,140,compensatory
1,0,37,141,punitive
3,0,34,142,compensatory
7,2,39,143,compensatory
0,0,20,144,punitive
0,0,1,145,punitive
2,0,14,146,punitive
2,0,7,147,punitive
0,0,9,148,punitive
0,1,0,149,punitive
0,0,0,150,punitive
0,0,7,151,punitive
0,0,6,152,compensatory
0,0,6,153,compensatory
0,0,8,154,punitive
0,0,8,155,compensatory
2,3,41,156,punitive
0,0,3,157,punitive
0,0,4,158,punitive
0,0,0,159,punitive
0,0,10,160,punitive
0,1,9,161,punitive
1,0,23,162,punitive
29,0,40,163,punitive
0,0,0,164,punitive
1,0,0,165,punitive
0,0,0,166,punitive
0,0,0,167,punitive
0,0,8,168,punitive
1,0,0,169,notdefine
3,0,45,170,punitive
0,0,10,171,punitive
0,0,4,172,compensatory
0,0,8,173,compensatory
0,0,0,174,punitive
1,3,9,175,compensatory
0,0,11,176,punitive
0,0,17,177,punitive
1,0,20,178,punitive
0,0,51,179,compensatory
0,0,51,180,compensatory
1,0,12,181,punitive
0,0,2,182,compensatory
1,0,2,183,punitive
0,0,0,184,punitive
0,0,0,185,punitive
0,0,18,186,compensatory
0,0,0,187,punitive
4,0,30,188,compensatory
0,0,15,189,punitive
0,0,50,190,punitive
0,1,23,191,compensatory
0,0,3,192,punitive
0,0,32,193,punitive
0,0,5,194,punitive
96,0,71,195,punitive
0,0,3,196,compensatory
0,0,29,197,punitive
0,0,6,198,punitive
0,1,1,199,punitive
1,2,61,200,compensatory
5,7,154,201,punitive
0,0,9,202,punitive
0,0,0,203,punitive
0,0,47,204,punitive
3,0,36,205,compensatory
1,0,1,206,punitive
0,0,8,207,punitive
0,0,3,208,notdefine
0,0,0,209,punitive
0,0,0,210,punitive
0,0,4,211,punitive
2,0,0,212,punitive
0,0,5,213,punitive
0,1,6,214,punitive
0,0,23,215,compensatory
10,0,7,216,punitive
11,3,14,217,compensatory
0,0,0,218,punitive
1,1,28,219,punitive
1,5,34,220,compensatory
0,0,3,221,punitive
0,0,0,222,punitive
0,1,16,223,punitive
0,0,0,224,compensatory
0,0,26,225,punitive
0,0,50,226,compensatory
7,0,42,227,punitive
0,0,1,228,punitive
0,5,1,229,compensatory
3,1,23,230,compensatory
2,0,22,231,punitive
0,0,0,232,punitive
0,0,8,233,compensatory
0,0,0,234,punitive
0,0,1,235,punitive
0,0,1,236,punitive
0,0,2,237,punitive
8,0,129,238,compensatory
5,2,190,239,punitive
0,5,34,240,punitive
4,0,32,241,punitive
0,1,11,242,compensatory
12,0,17,243,punitive
0,0,33,244,compensatory
0,0,3,245,punitive
0,0,11,246,punitive
1,0,1,247,punitive
0,0,1,248,punitive
0,0,8,249,punitive
0,5,44,250,punitive
0,0,32,251,compensatory
0,0,17,252,punitive
0,1,32,253,compensatory
0,0,0,254,punitive
1,0,41,255,compensatory
0,0,41,256,punitive
0,3,29,257,punitive
0,2,31,258,compensatory
0,0,0,259,punitive
2,0,99,260,punitive
0,0,0,261,punitive
0,0,12,262,punitive
0,0,15,263,punitive
0,0,19,264,punitive
0,0,1,265,punitive
11,0,149,266,compensatory
0,0,0,267,compensatory
0,0,34,268,punitive
0,0,22,269,compensatory
0,0,0,270,punitive
0,0,1,271,punitive
0,0,2,272,punitive
0,0,3,273,punitive
8,0,33,274,compensatory
0,0,0,275,punitive
2,0,18,276,compensatory
0,0,38,277,punitive
3,0,0,278,punitive
0,0,29,279,punitive
0,0,4,280,punitive
0,0,2,281,compensatory
0,1,23,282,punitive
0,0,30,283,punitive
1,0,15,284,compensatory
8,0,40,285,punitive
0,0,21,286,compensatory
1,0,0,287,compensatory
0,0,20,288,compensatory
0,0,0,289,punitive
11,2,34,290,compensatory
0,0,1,291,compensatory
0,0,1,292,punitive
2,0,1,293,punitive
13,0,57,294,punitive
2,0,17,295,punitive
0,0,0,296,compensatory
0,0,0,297,notdefine
3,0,1,298,punitive
0,0,2,299,punitive
2,1,19,300,compensatory
1,0,3,301,punitive
0,0,1,302,punitive
2,0,15,303,punitive
0,0,1,304,compensatory
0,1,40,305,punitive
0,0,2,306,notdefine
1,0,1,307,punitive
0,0,1,308,compensatory
0,0,1,309,compensatory
0,2,0,310,punitive
0,1,27,311,punitive
8,0,45,312,compensatory
0,1,61,313,punitive
1,1,13,314,punitive
0,0,9,315,punitive
6,0,2,316,punitive
